Fecha y Hora de Inicio (dd/MM/aaaa  HH:mm:ss),Fecha y Hora de Finalización (dd/MM/aaaa  HH:mm:ss),"PM10 (ug/m3)
Condición Estándar",Velocidad del Viento (m/s),Dirección del viento (Grados),Temperatura 10cm (°C),Precipitación (mm),Presión atmosférica (mm Hg),Humedad Relativa 10m (%),Radiación Solar Global (W/m2)
01/02/2022 10:00:00 PM,01/02/2022 10:59:59 PM,40.488905,0.9076923,321.4538462,25.3358974,0,758.3115385,90.0102564,0
01/02/2022 11:00:00 PM,01/02/2022 11:59:59 PM,34.1342742,0.6666667,278.7794872,24.8717949,0,758.2480769,91.5794872,0
01/03/2022 12:00:00 AM,01/03/2022 12:59:59 AM,28.1567771,0.7025641,318.0692308,24.525641,0,758.0403846,92.3333333,0
01/03/2022 01:00:00 AM,01/03/2022 01:59:59 AM,25.9082241,0.8526316,328.6921053,24.2657895,0,757.6776316,93.4763158,0
01/03/2022 02:00:00 AM,01/03/2022 02:59:59 AM,24.254742,0.3948718,200.5358974,24.1435897,0,757.3788462,93.7641026,0
01/03/2022 03:00:00 AM,01/03/2022 03:59:59 AM,22.3776338,0.4641026,284.8641026,23.7974359,0,757.2846154,94.7461539,0
01/03/2022 04:00:00 AM,01/03/2022 04:59:59 AM,24.1014348,0.5052632,268.9894737,23.7026316,0,757.3697368,94.2868421,0
01/03/2022 05:00:00 AM,01/03/2022 05:59:59 AM,22.3081387,0.4052632,218.5236842,22.9842105,0,757.6578947,95.1605263,0
01/03/2022 06:00:00 AM,01/03/2022 06:59:59 AM,27.9547172,0.4897436,271.4974359,22.925641,0,758.0480769,94.6769231,8.9564103
01/03/2022 07:00:00 AM,01/03/2022 07:59:59 AM,38.621636,0.4923077,241.8794872,24.2512821,0,758.6807692,91.1769231,43.574359
01/03/2022 08:00:00 AM,01/03/2022 08:59:59 AM,51.4931788,0.2210526,145.6526316,26.8210526,0,759.1914474,83.3526316,67.3210526
01/03/2022 09:00:00 AM,01/03/2022 09:59:59 AM,93.4230881,0.7641026,276.2384615,28.925641,0,759.2153846,71.4717949,76.3461539
01/03/2022 10:00:00 AM,01/03/2022 10:59:59 AM,71.6030761,0.8282051,310.3692308,31.048718,0,758.9673077,62.3461539,329.9410256
01/03/2022 11:00:00 AM,01/03/2022 11:59:59 AM,57.4207926,0.9351351,221.2702703,33.0783784,0,758.4932432,57.8666667,744.3297297
01/03/2022 04:00:00 PM,01/03/2022 04:59:59 PM,93.0153975,0.7461538,247.3333333,32.1076923,0,755.8153846,57.5358974,69.2461539
01/03/2022 05:00:00 PM,01/03/2022 05:59:59 PM,69.2139862,0.6567568,269.5162162,30.5648649,0,756.0932432,60.472973,25.8864865
